LIMES;Enavi;UnitLIMES;UnitEnavi;ConvFactor
Net exports to PRT|Electricity;Net exports to PRT|Electricity;TWh/yr;TWh/yr;1
Net exports to GRC|Electricity;Net exports to GRC|Electricity;TWh/yr;TWh/yr;1
Capacity Additions|Electricity|Lignite;Capacity Additions|Electricity|Lignite;GW/yr;GW/yr;1
Capacity Additions|Electricity|Lignite|w/ CCS;Capacity Additions|Electricity|Lignite|w/ CCS;GW/yr;GW/yr;1
Capacity Additions|Electricity|Lignite|w/o CCS;Capacity Additions|Electricity|Lignite|w/o CCS;GW/yr;GW/yr;1
Capacity Additions|Electricity|Hard Coal;Capacity Additions|Electricity|Hard Coal;GW/yr;GW/yr;1
Capacity Additions|Electricity|Hard Coal|w/ CCS;Capacity Additions|Electricity|Hard Coal|w/ CCS;GW/yr;GW/yr;1
Capacity Additions|Electricity|Hard Coal|w/o CCS;Capacity Additions|Electricity|Hard Coal|w/o CCS;GW/yr;GW/yr;1
Transmission capacity with FIN|Electricity;Transmission capacity with FIN|Electricity;GW;GW;1
Transmission capacity with NOR|Electricity;Transmission capacity with NOR|Electricity;GW;GW;1
